genre,count
russian pop,1624
russian rock,1320
russian hip hop,1048
classic russian pop,932
russian dance pop,720
pop,640
rap,560
classic russian rock,540
russian metal,539
russian classical piano,512
dance pop,440
rock,410
russian trap,410
russian indie,399
russian punk,390
pop rap,360
hip hop,340
russian folk metal,331
russian alternative,330
trap,320
russian post-punk,317
modern rock,310
bard,300
indie pop,290
russian romance,287
southern hip hop,280
russian black metal,273
russian electronic,273
russian folk,270
latin,270
edm,260
russian emo,248
russian indie rock,241
pop rock,230
post-teen pop,230
russian chanson,230
underground hip hop,230
mellow gold,230
soft rock,220
hard rock,220
tropical,210
urban contemporary,210
russian synthpop,191
contemporary country,190
electropop,190
country rock,190
slavic folk metal,187
russian hardcore,187
slavic metal,182
classical piano,180
folk rock,180
alternative rock,180
russian post-rock,175
indie rock,170
album rock,170
electro house,170
r&b,170
classic rock,170
pop punk,170
russian dnb,170
russian dance,160
classical performance,160
latin hip hop,160
soviet synthpop,160
reggaeton,160
russian power metal,153
dubsteppe,151
russian romanticism,150
tropical house,150
russian shoegaze,147
ukrainian pop,140
country road,140
indie poptimism,140
k-pop,131
blues rock,130
dark psytrance,124
russian modern classical,121
progressive house,120
violin,120
kavkaz,120
art pop,120
country,120
stomp and holler,120
russian edm,120
punk,120
funk,110
russian experimental electronic,110
freak folk,110
otacore,110
latin pop,110
indie folk,110
quiet storm,110
russian underground rap,104
lo-fi beats,102
norteno,100
deep folk metal,100
progressive trance,100
electronic trap,100
alternative metal,100
emo rap,100
soul,100
modern alternative rock,100
uplifting trance,100
folk,100
trance,100
slam death metal,99
alternative r&b,98
regional mexican,90
russian trance,90
russian drill,90
voidgaze,90
hip pop,90
rock en espanol,90
screamo,90
gangster rap,90
atl hip hop,90
classical,90
russian reggae,81
canadian hip hop,80
russian pop punk,80
metropopolis,80
ska punk,80
post-hardcore,80
mexican pop,80
dirty south rap,80
russian gangster rap,80
deep underground hip hop,80
latin alternative,80
indie pop rap,80
skate punk,80
roots rock,80
neo soul,80
new jack swing,80
canadian pop,80
pop r&b,80
ambient psychill,80
alternative hip hop,80
folk metal,80
metalcore,80
dubstep,80
banda,80
opera,70
ska,70
modern ska punk,70
miami hip hop,70
nu gaze,70
neo mellow,70
brostep,70
chillwave,70
grupera,70
escape room,70
melodic metalcore,70
viking folk,70
norwegian pop,70
melodic rap,70
modern dream pop,70
modern country rock,70
russian techno,70
medieval folk,70
adult standards,70
atmospheric black metal,66
funeral doom,64
korean r&b,60
orthodox chant,60
reggaeton flow,60
sleep,60
toronto rap,60
noise pop,60
emo,60
russian grime,60
rap rock,60
eurovision,60
philly indie,60
pop edm,60
big room,60
house,60
dark trap,60
new orleans rap,60
women's music,60
post-romantic era,60
show tunes,60
heartland rock,60
lilith,60
indie soul,60
funk metal,60
redneck,60
russian jazz,60
string quartet,60
sad rap,60
rune folk,60
nuevo regional mexicano,60
art rock,60
progressive electro house,60
detskie pesni,60
background music,57
sovietwave,55
psychedelic rock,50
punk blues,50
ranchera,50
broadway,50
instrumental post-rock,50
socal pop punk,50
russian choir,50
deathcore,50
symphonic power metal,50
corridos tumbados,50
djent,50
singer-songwriter,50
anthem worship,50
deep southern trap,50
bubblegum pop,50
country dawn,50
metal,50
trap latino,50
vapor trap,50
glam metal,50
motown,50
bass house,50
metallic hardcore,50
nu metal,50
blackgaze,50
world worship,50
cyber metal,50
chicago rap,50
classical soprano,50
worship,50
chillhop,50
new rave,50
christian music,50
electronica,50
alternative dance,50
darkstep,50
psychill,50
cali rap,50
psychedelic hip hop,50
east coast hip hop,50
symphonic death metal,49
ukrainian hip hop,47
gothic doom,46
russian contemporary classical,41
deep darkpsy,41
deep talent show,40
dance-punk,40
traprun,40
wave,40
white noise,40
via,40
gothic symphonic metal,40
gothic metal,40
philly rap,40
groove room,40
social media pop,40
jazz pop,40
deep regional mexican,40
hollywood,40
desi pop,40
europop,40
grime,40
bluegrass,40
progressive bluegrass,40
nu jazz,40
orchestra,40
dominican pop,40
k-indie,40
new americana,40
deep big room,40
bedroom pop,40
orchestral performance,40
garage rock,40
slayer,40
uk hip hop,40
neurofunk,40
raw black metal,40
swiss country,40
banjo,40
steampunk,40
latin rock,40
new jersey indie,40
uk alternative pop,40
australian rock,40
neon pop punk,40
space rock,40
country rap,40
sky room,40
colombian rock,40
wrestling,40
colombian hip hop,40
drumfunk,40
shoegaze,40
synthwave,40
wonky,40
experimental pop,40
baltimore indie,40
ccm,40
australian pop,40
disco,40
psychedelic trance,40
veracruz indie,40
vapor soul,40
hardcore hip hop,40
classic canadian rock,40
funk rock,40
permanent wave,40
belarusian pop,40
depressive black metal,39
desi hip hop,39
throat singing,36
deep tropical house,36
instrumental black metal,35
atmospheric doom,33
hard bass,31
neofolk,31
